WTGID,Loc,MonthStartDate,f1,f2,f3,f4,f5,f6,target,Dataset
443,0,1/1/2024 0:00,4,487.369772,12.53741387,55.17412989,59.06647671,46.52906284,0,val
444,0,1/1/2024 0:00,2,484.892575,11.4306532,50.43839902,53.66338816,42.23273496,0,val
444,0,2/1/2024 0:00,2,427.362545,11.0177207,49.92622934,53.17737179,42.1596511,0,val
445,0,1/1/2024 0:00,4,464.42368,12.1450672,48.64412249,52.2119696,40.0669024,0,val
445,0,2/1/2024 0:00,2,427.78671,11.31294888,47.83047356,51.38877602,40.07582714,0,val
446,0,11/1/2023 0:00,3,634.108893,10.65793874,47.01461616,49.62489328,38.96695455,0,val
446,0,12/1/2023 0:00,0,411.424168,11.08900876,48.3726653,51.06818389,39.97917513,0,val
446,0,1/1/2024 0:00,4,454.730154,11.75925672,48.54164149,51.25842135,39.49916463,0,val
446,0,2/1/2024 0:00,2,427.541389,10.98736917,47.91655016,50.57738059,39.59001142,0,val
447,0,1/1/2024 0:00,2,467.347506,11.74395012,51.14577334,54.42236284,42.67841272,0,val
447,0,2/1/2024 0:00,2,430.002851,11.15856464,50.2301241,53.39958555,42.24102091,0,val
448,0,10/1/2022 0:00,22,408.057175,29.36398931,62.72029712,65.63246718,36.26847786,0,model
448,0,11/1/2022 0:00,19,693.586575,24.4984889,58.16837703,61.19458562,36.69609672,0,model
448,0,3/1/2023 0:00,15,895.987872,19.93014513,54.65547758,57.76302386,37.83287873,0,model
448,0,5/1/2023 0:00,17,821.891475,22.56052787,59.75405483,62.62462295,40.06409508,0,model
448,0,1/1/2024 0:00,10,715.89913,15.09871449,52.47119903,55.78366667,40.68495217,0,val
448,0,2/1/2024 0:00,15,752.96419,18.98371011,57.35029828,60.62619245,41.64248234,0,val
449,0,11/1/2022 0:00,20,697.776927,25.50249584,55.7127315,57.29129063,31.78879479,0,model
449,0,2/1/2024 0:00,14,770.284403,19.76448493,53.78119339,55.0766055,35.31212058,0,val
450,0,10/1/2022 0:00,22,559.837075,31.89110487,59.90481914,60.81410487,28.923,0,model
450,0,11/1/2022 0:00,20,693.70917,25.87768231,54.47115023,55.34337937,29.46569705,0,model
450,0,3/1/2023 0:00,15,897.389883,20.46577432,51.42885409,52.33278599,31.86701167,0,model
450,0,3/1/2024 0:00,14,726.556704,19.56749425,51.26516518,52.14854789,32.58105364,0,val
451,0,10/1/2022 0:00,22,601.805463,31.93018543,61.73239386,64.40281623,32.47263079,0,model
451,0,11/1/2022 0:00,20,680.374677,26.15164478,56.43270887,59.10727315,32.95562837,0,model
451,0,1/1/2024 0:00,10,714.053615,15.96449912,50.27683186,53.30676543,37.34226631,0,val
